iter	Passed	Remaining
0	6	6703
1	10	5258
2	15	5234
3	21	5321
4	26	5351
5	35	5806
6	41	5829
7	50	6313
8	57	6335
9	64	6354
10	69	6228
11	74	6163
12	80	6144
13	86	6063
14	93	6107
15	98	6077
16	104	6020
17	109	5981
18	114	5934
19	120	5897
20	126	5886
21	132	5900
22	137	5853
23	143	5822
24	148	5790
25	154	5792
26	158	5711
27	163	5689
28	169	5666
29	174	5638
30	181	5686
31	187	5679
32	191	5622
33	195	5550
34	200	5526
35	207	5544
36	212	5531
37	218	5538
38	222	5494
39	229	5499
40	234	5496
41	240	5490
42	246	5481
43	252	5485
44	256	5449
45	261	5423
46	266	5393
47	270	5367
48	274	5323
49	278	5295
50	286	5326
51	292	5325
52	297	5320
53	302	5307
54	308	5296
55	310	5234
56	315	5214
57	321	5222
58	325	5195
59	332	5201
60	338	5208
61	343	5190
62	345	5143
63	349	5112
64	353	5084
65	358	5069
66	363	5062
67	369	5058
68	374	5050
69	379	5036
70	382	5005
71	386	4978
72	391	4969
73	395	4946
74	398	4911
75	400	4864
76	404	4851
77	406	4810
78	412	4806
79	416	4795
80	421	4787
81	426	4773
82	430	4752
83	435	4748
84	439	4734
85	442	4703
86	447	4690
87	451	4684
88	456	4670
89	458	4631
90	459	4593
91	463	4578
92	468	4570
93	473	4562
94	478	4554
95	484	4558
96	489	4552
97	494	4551
98	499	4544
99	502	4520
100	506	4510
101	510	4496
102	513	4475
103	519	4473
104	524	4468
105	530	4475
106	537	4484
107	542	4477
108	546	4467
109	551	4464
110	557	4461
111	564	4478
112	569	4473
113	575	4476
114	581	4474
115	586	4472
116	591	4462
117	596	4460
118	602	4463
119	606	4445
120	610	4432
121	614	4425
122	620	4427
123	625	4422
124	631	4420
125	636	4413
126	641	4411
127	647	4409
128	652	4407
129	657	4400
130	662	4394
131	667	4387
132	671	4376
133	678	4387
134	682	4376
135	687	4368
136	691	4356
137	696	4348
138	700	4337
139	706	4340
140	711	4335
141	719	4345
142	726	4351
143	730	4343
144	735	4336
145	741	4336
146	748	4340
147	752	4332
148	757	4323
149	761	4317
150	765	4301
151	771	4304
152	779	4312
153	784	4312
154	789	4305
155	794	4300
156	797	4284
157	802	4274
158	806	4265
159	810	4257
160	816	4253
161	820	4244
162	824	4235
163	830	4232
164	834	4220
165	839	4217
166	844	4214
167	850	4210
168	855	4208
169	862	4213
170	867	4206
171	872	4198
172	878	4199
173	883	4193
174	888	4190
175	895	4190
176	901	4192
177	906	4186
178	910	4176
179	915	4172
180	922	4173
181	927	4169
182	932	4162
183	937	4158
184	941	4146
185	946	4141
186	950	4133
187	954	4122
188	959	4115
189	965	4116
190	971	4114
191	976	4108
192	982	4106
193	987	4103
194	993	4101
195	998	4096
196	1004	4095
197	1010	4094
198	1015	4088
199	1021	4086
200	1026	4081
201	1032	4079
202	1037	4075
203	1042	4068
204	1046	4059
205	1052	4057
206	1056	4049
207	1060	4039
208	1065	4031
209	1067	4015
210	1072	4010
211	1077	4005
212	1082	3999
213	1085	3987
214	1089	3978
215	1092	3967
216	1096	3954
217	1099	3943
218	1102	3932
219	1106	3921
220	1110	3913
221	1113	3902
222	1116	3891
223	1119	3878
224	1122	3866
225	1125	3853
226	1128	3842
227	1131	3831
228	1134	3819
229	1137	3806
230	1139	3794
231	1143	3784
232	1147	3775
233	1150	3764
234	1152	3751
235	1154	3738
236	1157	3727
237	1160	3716
238	1163	3706
239	1168	3700
240	1172	3692
241	1175	3681
242	1178	3671
243	1181	3661
244	1186	3655
245	1189	3645
246	1192	3634
247	1195	3624
248	1197	3611
249	1201	3603
250	1205	3596
